question_clean,qtype,focus_area,department
what is glaucoma,definition,Glaucoma,Ophthalmology
what causes glaucoma,causes,Glaucoma,Ophthalmology
what are the symptoms of glaucoma,symptoms,Glaucoma,Ophthalmology
what are the treatments for glaucoma,treatment,Glaucoma,Ophthalmology
who is at risk for glaucoma,definition,Glaucoma,Ophthalmology
how to prevent glaucoma,prevention,Glaucoma,Ophthalmology
what research or clinical trials is being done for glaucoma,definition,Glaucoma,Ophthalmology
what is high blood pressure,definition,High Blood Pressure,Cardiology
what causes high blood pressure,causes,High Blood Pressure,Cardiology
who is at risk for high blood pressure,definition,High Blood Pressure,Cardiology
how to prevent high blood pressure,prevention,High Blood Pressure,Cardiology
what are the symptoms of high blood pressure,symptoms,High Blood Pressure,Cardiology
how to diagnose high blood pressure,diagnosis,High Blood Pressure,Cardiology
what are the treatments for high blood pressure,treatment,High Blood Pressure,Cardiology
what is pagets disease of bone,definition,Paget's Disease of Bone,Orthopedics & Rheumatology
what are the symptoms of pagets disease of bone,symptoms,Paget's Disease of Bone,Orthopedics & Rheumatology
how to diagnose pagets disease of bone,diagnosis,Paget's Disease of Bone,Orthopedics & Rheumatology
what are the treatments for pagets disease of bone,treatment,Paget's Disease of Bone,Orthopedics & Rheumatology
what are the complications of pagets disease of bone,definition,Paget's Disease of Bone,Orthopedics & Rheumatology
what is urinary tract infections,definition,Urinary Tract Infections,Nephrology & Urology
what causes urinary tract infections,causes,Urinary Tract Infections,Nephrology & Urology
what are the symptoms of urinary tract infections,symptoms,Urinary Tract Infections,Nephrology & Urology
how to prevent urinary tract infections,prevention,Urinary Tract Infections,Nephrology & Urology
who is at risk for urinary tract infections,definition,Urinary Tract Infections,Nephrology & Urology
what are the treatments for urinary tract infections,treatment,Urinary Tract Infections,Nephrology & Urology
what is alcohol use and older adults,definition,Alcohol Use and Older Adults,Geriatrics & Aging
what are the symptoms of alcohol use and older adults,symptoms,Alcohol Use and Older Adults,Geriatrics & Aging
what are the treatments for alcohol use and older adults,treatment,Alcohol Use and Older Adults,Geriatrics & Aging
where to find support for people with alcohol use and older adults,definition,Alcohol Use and Older Adults,Geriatrics & Aging
what is osteoarthritis,definition,Osteoarthritis,Orthopedics & Rheumatology
what causes osteoarthritis,causes,Osteoarthritis,Orthopedics & Rheumatology
what are the symptoms of osteoarthritis,symptoms,Osteoarthritis,Orthopedics & Rheumatology
what are the treatments for osteoarthritis,treatment,Osteoarthritis,Orthopedics & Rheumatology
how many people are affected by osteoarthritis,epidemiology,Osteoarthritis,Orthopedics & Rheumatology
how to diagnose osteoarthritis,diagnosis,Osteoarthritis,Orthopedics & Rheumatology
what is problems with taste,definition,Problems with Taste,ENT
what causes problems with taste,causes,Problems with Taste,ENT
what are the symptoms of problems with taste,symptoms,Problems with Taste,ENT
what are the treatments for problems with taste,treatment,Problems with Taste,ENT
what research or clinical trials is being done for problems with taste,definition,Problems with Taste,ENT
how many people are affected by problems with taste,epidemiology,Problems with Taste,ENT
