question_clean,qtype,source,focus_area
what is glaucoma,definition,NIHSeniorHealth,Glaucoma
what causes glaucoma,causes,NIHSeniorHealth,Glaucoma
what are the symptoms of glaucoma,symptoms,NIHSeniorHealth,Glaucoma
what are the treatments for glaucoma,treatment,NIHSeniorHealth,Glaucoma
who is at risk for glaucoma,definition,NIHSeniorHealth,Glaucoma
how to prevent glaucoma,prevention,NIHSeniorHealth,Glaucoma
what research or clinical trials is being done for glaucoma,definition,NIHSeniorHealth,Glaucoma
what is high blood pressure,definition,NIHSeniorHealth,High Blood Pressure
what causes high blood pressure,causes,NIHSeniorHealth,High Blood Pressure
who is at risk for high blood pressure,definition,NIHSeniorHealth,High Blood Pressure
how to prevent high blood pressure,prevention,NIHSeniorHealth,High Blood Pressure
what are the symptoms of high blood pressure,symptoms,NIHSeniorHealth,High Blood Pressure
how to diagnose high blood pressure,diagnosis,NIHSeniorHealth,High Blood Pressure
what are the treatments for high blood pressure,treatment,NIHSeniorHealth,High Blood Pressure
what is pagets disease of bone,definition,NIHSeniorHealth,Paget's Disease of Bone
what are the symptoms of pagets disease of bone,symptoms,NIHSeniorHealth,Paget's Disease of Bone
how to diagnose pagets disease of bone,diagnosis,NIHSeniorHealth,Paget's Disease of Bone
what are the treatments for pagets disease of bone,treatment,NIHSeniorHealth,Paget's Disease of Bone
what are the complications of pagets disease of bone,definition,NIHSeniorHealth,Paget's Disease of Bone
what is urinary tract infections,definition,NIHSeniorHealth,Urinary Tract Infections
what causes urinary tract infections,causes,NIHSeniorHealth,Urinary Tract Infections
what are the symptoms of urinary tract infections,symptoms,NIHSeniorHealth,Urinary Tract Infections
how to prevent urinary tract infections,prevention,NIHSeniorHealth,Urinary Tract Infections
who is at risk for urinary tract infections,definition,NIHSeniorHealth,Urinary Tract Infections
what are the treatments for urinary tract infections,treatment,NIHSeniorHealth,Urinary Tract Infections
what is alcohol use and older adults,definition,NIHSeniorHealth,Alcohol Use and Older Adults
what are the symptoms of alcohol use and older adults,symptoms,NIHSeniorHealth,Alcohol Use and Older Adults
what are the treatments for alcohol use and older adults,treatment,NIHSeniorHealth,Alcohol Use and Older Adults
where to find support for people with alcohol use and older adults,definition,NIHSeniorHealth,Alcohol Use and Older Adults
what is osteoarthritis,definition,NIHSeniorHealth,Osteoarthritis
what causes osteoarthritis,causes,NIHSeniorHealth,Osteoarthritis
what are the symptoms of osteoarthritis,symptoms,NIHSeniorHealth,Osteoarthritis
what are the treatments for osteoarthritis,treatment,NIHSeniorHealth,Osteoarthritis
how many people are affected by osteoarthritis,epidemiology,NIHSeniorHealth,Osteoarthritis
how to diagnose osteoarthritis,diagnosis,NIHSeniorHealth,Osteoarthritis
what is problems with taste,definition,NIHSeniorHealth,Problems with Taste
what causes problems with taste,causes,NIHSeniorHealth,Problems with Taste
what are the symptoms of problems with taste,symptoms,NIHSeniorHealth,Problems with Taste
what are the treatments for problems with taste,treatment,NIHSeniorHealth,Problems with Taste
what research or clinical trials is being done for problems with taste,definition,NIHSeniorHealth,Problems with Taste
how many people are affected by problems with taste,epidemiology,NIHSeniorHealth,Problems with Taste
how to prevent problems with taste,prevention,NIHSeniorHealth,Problems with Taste
how to diagnose problems with taste,diagnosis,NIHSeniorHealth,Problems with Taste
what is anxiety disorders,definition,NIHSeniorHealth,Anxiety Disorders
what are the symptoms of anxiety disorders,symptoms,NIHSeniorHealth,Anxiety Disorders
how to diagnose anxiety disorders,diagnosis,NIHSeniorHealth,Anxiety Disorders
what research or clinical trials is being done for anxiety disorders,definition,NIHSeniorHealth,Anxiety Disorders
how many people are affected by anxiety disorders,epidemiology,NIHSeniorHealth,Anxiety Disorders
who is at risk for anxiety disorders,definition,NIHSeniorHealth,Anxiety Disorders
what are the treatments for anxiety disorders,treatment,NIHSeniorHealth,Anxiety Disorders
what is diabetes,definition,NIHSeniorHealth,Diabetes
who is at risk for diabetes,definition,NIHSeniorHealth,Diabetes
how to prevent diabetes,prevention,NIHSeniorHealth,Diabetes
what are the symptoms of diabetes,symptoms,NIHSeniorHealth,Diabetes
what are the treatments for diabetes,treatment,NIHSeniorHealth,Diabetes
what causes diabetes,causes,NIHSeniorHealth,Diabetes
what is medicare and continuing care,definition,NIHSeniorHealth,Medicare and Continuing Care
what to do for medicare and continuing care,definition,NIHSeniorHealth,Medicare and Continuing Care
what is knee replacement,definition,NIHSeniorHealth,Knee Replacement
what are the complications of knee replacement,definition,NIHSeniorHealth,Knee Replacement
what is the outlook for knee replacement,prognosis,NIHSeniorHealth,Knee Replacement
what are the treatments for knee replacement,treatment,NIHSeniorHealth,Knee Replacement
who is at risk for knee replacement,definition,NIHSeniorHealth,Knee Replacement
what is balance problems,definition,NIHSeniorHealth,Balance Problems
how to prevent balance problems,prevention,NIHSeniorHealth,Balance Problems
what are the symptoms of balance problems,symptoms,NIHSeniorHealth,Balance Problems
what are the treatments for balance problems,treatment,NIHSeniorHealth,Balance Problems
how many people are affected by balance problems,epidemiology,NIHSeniorHealth,Balance Problems
what causes balance problems,causes,NIHSeniorHealth,Balance Problems
what is quitting smoking for older adults,definition,NIHSeniorHealth,Quitting Smoking for Older Adults
what causes quitting smoking for older adults,causes,NIHSeniorHealth,Quitting Smoking for Older Adults
what is prostate cancer,definition,NIHSeniorHealth,Prostate Cancer
who is at risk for prostate cancer,definition,NIHSeniorHealth,Prostate Cancer
what are the symptoms of prostate cancer,symptoms,NIHSeniorHealth,Prostate Cancer
what are the treatments for prostate cancer,treatment,NIHSeniorHealth,Prostate Cancer
what research or clinical trials is being done for prostate cancer,definition,NIHSeniorHealth,Prostate Cancer
how many people are affected by prostate cancer,epidemiology,NIHSeniorHealth,Prostate Cancer
what causes prostate cancer,causes,NIHSeniorHealth,Prostate Cancer
how to diagnose prostate cancer,diagnosis,NIHSeniorHealth,Prostate Cancer
what is dry mouth,definition,NIHSeniorHealth,Dry Mouth
what causes dry mouth,causes,NIHSeniorHealth,Dry Mouth
what are the treatments for dry mouth,treatment,NIHSeniorHealth,Dry Mouth
what are the symptoms of dry mouth,symptoms,NIHSeniorHealth,Dry Mouth
what is osteoporosis,definition,NIHSeniorHealth,Osteoporosis
who is at risk for osteoporosis,definition,NIHSeniorHealth,Osteoporosis
what are the symptoms of osteoporosis,symptoms,NIHSeniorHealth,Osteoporosis
how to diagnose osteoporosis,diagnosis,NIHSeniorHealth,Osteoporosis
what are the treatments for osteoporosis,treatment,NIHSeniorHealth,Osteoporosis
what research or clinical trials is being done for osteoporosis,definition,NIHSeniorHealth,Osteoporosis
how to prevent osteoporosis,prevention,NIHSeniorHealth,Osteoporosis
what is kidney disease,definition,NIHSeniorHealth,Kidney Disease
how to prevent kidney disease,prevention,NIHSeniorHealth,Kidney Disease
what are the symptoms of kidney disease,symptoms,NIHSeniorHealth,Kidney Disease
what are the treatments for kidney disease,treatment,NIHSeniorHealth,Kidney Disease
what research or clinical trials is being done for kidney disease,definition,NIHSeniorHealth,Kidney Disease
what causes kidney disease,causes,NIHSeniorHealth,Kidney Disease
who is at risk for kidney disease,definition,NIHSeniorHealth,Kidney Disease
what is alzheimers disease,definition,NIHSeniorHealth,Alzheimer's Disease
what causes alzheimers disease,causes,NIHSeniorHealth,Alzheimer's Disease
what are the symptoms of alzheimers disease,symptoms,NIHSeniorHealth,Alzheimer's Disease
how to prevent alzheimers disease,prevention,NIHSeniorHealth,Alzheimer's Disease
what are the treatments for alzheimers disease,treatment,NIHSeniorHealth,Alzheimer's Disease
what research or clinical trials is being done for alzheimers disease,definition,NIHSeniorHealth,Alzheimer's Disease
how to diagnose alzheimers disease,diagnosis,NIHSeniorHealth,Alzheimer's Disease
what is rheumatoid arthritis,definition,NIHSeniorHealth,Rheumatoid Arthritis
what causes rheumatoid arthritis,causes,NIHSeniorHealth,Rheumatoid Arthritis
what are the symptoms of rheumatoid arthritis,symptoms,NIHSeniorHealth,Rheumatoid Arthritis
what are the treatments for rheumatoid arthritis,treatment,NIHSeniorHealth,Rheumatoid Arthritis
what research or clinical trials is being done for rheumatoid arthritis,definition,NIHSeniorHealth,Rheumatoid Arthritis
how to diagnose rheumatoid arthritis,diagnosis,NIHSeniorHealth,Rheumatoid Arthritis
what is hearing loss,definition,NIHSeniorHealth,Hearing Loss
how to prevent hearing loss,prevention,NIHSeniorHealth,Hearing Loss
what are the symptoms of hearing loss,symptoms,NIHSeniorHealth,Hearing Loss
what are the treatments for hearing loss,treatment,NIHSeniorHealth,Hearing Loss
how many people are affected by hearing loss,epidemiology,NIHSeniorHealth,Hearing Loss
what causes hearing loss,causes,NIHSeniorHealth,Hearing Loss
what is low vision,definition,NIHSeniorHealth,Low Vision
what causes low vision,causes,NIHSeniorHealth,Low Vision
what are the symptoms of low vision,symptoms,NIHSeniorHealth,Low Vision
who is at risk for low vision,definition,NIHSeniorHealth,Low Vision
what is copd,definition,NIHSeniorHealth,COPD
what causes copd,causes,NIHSeniorHealth,COPD
how to prevent copd,prevention,NIHSeniorHealth,COPD
what are the symptoms of copd,symptoms,NIHSeniorHealth,COPD
how to diagnose copd,diagnosis,NIHSeniorHealth,COPD
what are the treatments for copd,treatment,NIHSeniorHealth,COPD
what is agerelated macular degeneration,definition,NIHSeniorHealth,Age-related Macular Degeneration
who is at risk for agerelated macular degeneration,definition,NIHSeniorHealth,Age-related Macular Degeneration
what are the symptoms of agerelated macular degeneration,symptoms,NIHSeniorHealth,Age-related Macular Degeneration
what are the treatments for agerelated macular degeneration,treatment,NIHSeniorHealth,Age-related Macular Degeneration
what causes agerelated macular degeneration,causes,NIHSeniorHealth,Age-related Macular Degeneration
how to prevent agerelated macular degeneration,prevention,NIHSeniorHealth,Age-related Macular Degeneration
what research or clinical trials is being done for agerelated macular degeneration,definition,NIHSeniorHealth,Age-related Macular Degeneration
what is diabetic retinopathy,definition,NIHSeniorHealth,Diabetic Retinopathy
what causes diabetic retinopathy,causes,NIHSeniorHealth,Diabetic Retinopathy
what are the symptoms of diabetic retinopathy,symptoms,NIHSeniorHealth,Diabetic Retinopathy
what are the treatments for diabetic retinopathy,treatment,NIHSeniorHealth,Diabetic Retinopathy
who is at risk for diabetic retinopathy,definition,NIHSeniorHealth,Diabetic Retinopathy
what research or clinical trials is being done for diabetic retinopathy,definition,NIHSeniorHealth,Diabetic Retinopathy
what to do for diabetic retinopathy,definition,NIHSeniorHealth,Diabetic Retinopathy
what is depression,definition,NIHSeniorHealth,Depression
what causes depression,causes,NIHSeniorHealth,Depression
what are the symptoms of depression,symptoms,NIHSeniorHealth,Depression
what research or clinical trials is being done for depression,definition,NIHSeniorHealth,Depression
who is at risk for depression,definition,NIHSeniorHealth,Depression
what are the treatments for depression,treatment,NIHSeniorHealth,Depression
what is problems with smell,definition,NIHSeniorHealth,Problems with Smell
